image_url;seller_url;Title;Author
http://g-ecx.images-amazon.com/images/G/02/ciu/ae/a1/86ae012912a0b113b8f1f110.L._SL160_.jpg;http://www.amazon.co.uk/British-Butchers-Bunglers-World-War/dp/1841000124;British Butchers and Bunglers of World War I;John Laffin
http://ecx.images-amazon.com/images/I/417N0TZ519L._SL160_.jpg;http://www.amazon.co.uk/Donkeys-History-British-Expeditionary-Force/dp/0712650350;The Donkeys: A History of the British Expeditionary Force in 1915;Alan Clark
http://ecx.images-amazon.com/images/I/51XYES6DWGL._SL160_.jpg;http://www.amazon.co.uk/Haigs-Command-Denis-Winter/dp/1844152049;Haig's Command;Denis Winter
http://ecx.images-amazon.com/images/I/51S067E1H8L._SL160_.jpg;http://www.amazon.co.uk/Blood-Tub-General-Battle-Bullecourt/dp/1862270872;The Blood Tub: General Gough and the Battle of Bullecourt, 1917;Jonathan Walker
http://ecx.images-amazon.com/images/I/41V0Yb3QobL._SL160_.jpg;http://www.amazon.co.uk/Somme-Harvest-Memories-Summer-1916/dp/1843421097;Somme Harvest: Memories of a PBI in the Summer of 1916;Giles E.M. Eyre
http://ecx.images-amazon.com/images/I/51irRSIzgEL._SL160_.jpg;http://www.amazon.co.uk/Hell-They-Called-High-Wood/dp/1844158977;The Hell They Called High Wood: The Somme 1916;Norman Terr
http://ecx.images-amazon.com/images/I/41AWIihszpL._SL160_.jpg;http://www.amazon.co.uk/Isonzo-Forgotten-Sacrifice-Great-War/dp/0275972046;Isonzo: The Forgotten Sacrifice of the Great War; John R. Schindler
http://ecx.images-amazon.com/images/I/517F7EFD55L._SL160_.jpg;http://www.amazon.co.uk/Battle-Tanga-1914-Ross-Anderson/dp/0752423495;The Battle of Tanga 1914;Ross Anderson
http://ecx.images-amazon.com/images/I/51NZY7G83DL._SL160_.jpg;http://www.amazon.co.uk/Gallipoli-L-Carlyon/dp/0553815067;Gallipoli;L A Carlyon
http://ecx.images-amazon.com/images/I/511FWYS7V4L._SL160_.jpg;http://www.amazon.co.uk/Independent-Force-Daylight-Squadrons-November/dp/190230490X;Independent Force: The War Diary of the Daylight Bomber Squadrons of the Independent Air Force  6 June - 11 November 1918;Keith Rennles
http://ecx.images-amazon.com/images/I/51GHG3GJDML._SL160_.jpg;http://www.amazon.co.uk/Great-War-Myth-Memory/dp/1852854596;The Great War: Myth and Memory;Dan Todman
http://ecx.images-amazon.com/images/I/51ZJ5YH3Y0L._SL160_.jpg;http://www.amazon.co.uk/Battle-Tactics-Western-Front-British/dp/0300066635;Battle Tactics of the Western Front: British Army's Art of Attack, 1916-18;Paddy Griffith
http://ecx.images-amazon.com/images/I/51N2BQNW4VL._SL160_.jpg;http://www.amazon.co.uk/Somme-Robin-Prior/dp/0868409774;The Somme;Robin Prior, Trevor Wilson
http://ecx.images-amazon.com/images/I/51PPD897ZKL._SL160_.jpg;http://www.amazon.co.uk/Command-Western-Front-Rawlinson-1914-1918/dp/1844151034;Command on the Western Front: The Military Career of Sir Henry Rawlinson 1914-1918;Robin Prior, Trevor Wilson
http://ecx.images-amazon.com/images/I/51s1E2n4QZL._SL160_.jpg;;The Eastern Front 1914-1917;Norman Stone
http://ecx.images-amazon.com/images/I/51ehRKpXG-L._SL160_.jpg;;The Marne: The Battle That Saved Paris and Changed the Course of the First World War Prion lost treasures;Georges Blond
http://ecx.images-amazon.com/images/I/51RKIAWqSCL._SL160_.jpg;;Riding The Retreat: Mons to the Marne 1914 Revisited;Richard Holmes
http://ecx.images-amazon.com/images/I/41BPBHZENTL._SL160_.jpg;;Tommy: The British Soldier on the Western Front;Richard Holmes
http://ecx.images-amazon.com/images/I/51V58RPJKYL._SL160_.jpg;;Cheerful Sacrifice;Jonathan Nicholls
http://g-ecx.images-amazon.com/images/G/02/ciu/54/27/bcc2e10e22a02a65d7721210.L._SL160_.jpg;;A Passionate Prodigality (Echoes of War);Guy Chapman
http://ecx.images-amazon.com/images/I/218zUJg6ByL._SL160_.jpg;;Most Unfavourable Ground: The Battle of Loos, 1915;Niall Cherry
http://g-ecx.images-amazon.com/images/G/02/misc/no-img-lg-uk._V192212046_.gif;;Tanks at Flers: An Account of the First Use of Tanks in War at the Battle of Flers-Courcelette, the Somme, 15 September 1916;Trevor Pidgeon
http://ecx.images-amazon.com/images/I/41n5Oks-e5L._SL160_.jpg;;Tank Warfare: The Story of the Tanks in the Great War;F. Mitchell
http://g-ecx.images-amazon.com/images/G/02/misc/no-img-lg-uk._V192212046_.gif;;Poppies from the Heart of Strathspey;Peter Anderson
http://ecx.images-amazon.com/images/I/51DxcNNLpsL._SL160_.jpg;;In the Clouds Above Baghdad: Recollections of the R. F. C. in Mesopotamia During the First World War Against the Turks; J. E. Tennant
http://ecx.images-amazon.com/images/I/41T52T5KQ5L._SL160_.jpg;;The Advance from Mons 1914: The Experiences of a German Infantry Officer Helion Library of the Great War;Walter Bloem
